Label,Outer left eyebrow-x,Outer left eyebrow-y,Outer left eyebrow-z,Middle left eyebrow-x,Middle left eyebrow-y,Middle left eyebrow-z,Inner left eyebrow-x,Inner left eyebrow-y,Inner left eyebrow-z,Inner right eyebrow-x,Inner right eyebrow-y,Inner right eyebrow-z,Middle right eyebrow-x,Middle right eyebrow-y,Middle right eyebrow-z,Outer right eyebrow-x,Outer right eyebrow-y,Outer right eyebrow-z,Left temple-x,Left temple-y,Left temple-z,Outer left eye corner-x,Outer left eye corner-y,Outer left eye corner-z,Inner left eye corner-x,Inner left eye corner-y,Inner left eye corner-z,Inner right eye corner-x,Inner right eye corner-y,Inner right eye corner-z,Outer right eye corner-x,Outer right eye corner-y,Outer right eye corner-z,Right temple-x,Right temple-y,Right temple-z,Nose saddle left-x,Nose saddle left-y,Nose saddle left-z,Nose saddle right-x,Nose saddle right-y,Nose saddle right-z,Left nose peak-x,Left nose peak-y,Left nose peak-z,Nose tip-x,Nose tip-y,Nose tip-z,Right nose peak-x,Right nose peak-y,Right nose peak-z,Left mouth corner-x,Left mouth corner-y,Left mouth corner-z,Upper lip outer middle-x,Upper lip outer middle-y,Upper lip outer middle-z,Right mouth corner-x,Right mouth corner-y,Right mouth corner-z,Upper lip inner middle-x,Upper lip inner middle-y,Upper lip inner middle-z,Lower lip inner middle-x,Lower lip inner middle-y,Lower lip inner middle-z,Lower lip outer middle-x,Lower lip outer middle-y,Lower lip outer middle-z,Chin middle-x,Chin middle-y,Chin middle-z,Left ear lobe-x,Left ear lobe-y,Left ear lobe-z,Right ear lobe-x,Right ear lobe-y,Right ear lobe-z
FEAR,-61.505,5.207,-58.905,-45.805,20.897,-37.226,-15.914,14.024,-32.829,11.303,11.625,-34.308,40.542,17.317,-43.582,54.161,-1.845,-71.21,NaN,NaN,NaN,-48.124,-1.005,-41.725,-19.05,-4.001,-37.959,12.369,-5.425,-36.928,41.658,-6.264,-48.709,NaN,NaN,NaN,-8.085,-13.206,-23.625,2.803,-13.165,-27.111,-21.154,-42.76,-24.73,-2.258,-35.108,-4.85,14.094,-44.415,-31.354,-30.49,-72.934,-35.69,-4.65,-61.077,-15.877,23.609,-72.335,-41.422,-3.796,-68.018,-16.739,-3.735,-86.47,-29.098,-3.554,-94.205,-28.195,-3.578,-120.213,-48.7,NaN,NaN,NaN,NaN,NaN,NaN
HAPPY,-69.086,-0.437,-33.491,-52.906,14.266,-14.725,-25.047,8.239,-12.558,3.247,6.626,-15.452,31.209,11.52,-23.201,44.466,-4.17,-46.085,NaN,NaN,NaN,-57.034,-7.399,-20.526,-26.754,-8.685,-18.475,5.738,-9.55,-23.111,33.956,-10.411,-32.428,NaN,NaN,NaN,-15.765,-16.936,-5.853,-2.666,-16.964,-10.299,-28.591,-44.721,-6.262,-10.098,-40.075,13.003,6.606,-45.095,-1.839,-41.299,-73.082,-19.017,-10.193,-62.747,1.244,18.343,-73.305,-26.156,-10.193,-69.015,-2.409,-10.075,-81.403,-6.156,-10.783,-89.105,-5.74,-10.733,-116.421,-20.168,NaN,NaN,NaN,NaN,NaN,NaN
SADNESS,-63.729,-0.742,-29.624,-47.727,12.458,-12.926,-19.935,12.616,-8.968,3.677,12.565,-11.017,31.674,10.55,-20.374,46.319,-2.716,-38.302,NaN,NaN,NaN,-52.734,-8.438,-22.338,-23.978,-8.904,-19.82,7.071,-9.802,-20.481,35.215,-9.882,-30.866,NaN,NaN,NaN,-12.193,-17.201,-3.963,-1.411,-17.254,-6.084,-21.895,-48.6,-2.382,-5.759,-37.339,13.861,7.857,-48.301,0.696,-32.738,-80.711,-11.527,-6.602,-68.193,7.86,20.236,-79.931,-17.761,-5.043,-76.023,0.61,-4.257,-78.993,2.237,-4.924,-89.093,-0.401,-5.577,-113.54,-19.017,NaN,NaN,NaN,NaN,NaN,NaN
SURPRISE,-60.817,5.188,-42.13,-45.462,22.116,-25.967,-16.462,14.488,-23.911,12.706,12.265,-26.546,41.192,16.293,-39.56,51.214,-1.056,-53.22,NaN,NaN,NaN,-48.515,-2.806,-29.713,-18.899,-4.937,-26.498,12.256,-6.374,-31.226,39.802,-7.276,-40.22,NaN,NaN,NaN,-7.186,-12.465,-13.646,2.909,-12.619,-16.762,-17.727,-43.102,-7.713,-1.459,-35.075,5.293,12.158,-44.663,-9.2,-26.938,-76.925,-19.956,-3.067,-63.727,-3.457,20.275,-78.061,-27.681,-3.042,-69.833,-5.151,-2.866,-89.691,-15.702,-2.817,-99.779,-14.509,-3.408,-124.875,-38.928,NaN,NaN,NaN,NaN,NaN,NaN
ANGER,-82.045,18.895,-46.884,-64.055,16.599,-32.836,-41.412,10.949,-34.168,-16.536,12.757,-35.307,2.125,21.35,-32.325,19.577,25.429,-51.39,NaN,NaN,NaN,-74.325,3.987,-52.879,-44.81,2.371,-46.084,-15.155,3.279,-47.098,15.843,8.828,-57.823,NaN,NaN,NaN,-32.651,-9.207,-30.527,-22.509,-9.205,-32.155,-42.955,-31.274,-37.784,-27.781,-28.467,-20.958,-13.401,-31.151,-36.543,-48.72,-57.8,-50.581,-26.476,-52.279,-36.832,-3.837,-56.196,-52.801,-27.376,-56.477,-41.755,-26.622,-58.192,-44.298,-25.731,-66.904,-44.814,-24.117,-91.26,-57.62,NaN,NaN,NaN,NaN,NaN,NaN
DISGUST,-82.344,26.876,-79.911,-63.271,27.774,-62.747,-41.792,23.071,-62.307,-18.695,24.503,-67.795,-1.273,33.193,-62.752,16.348,36.901,-82.255,NaN,NaN,NaN,-75.895,12.425,-81.715,-43.599,12.549,-74.293,-15.546,14.955,-77.913,15.701,19.16,-87.384,NaN,NaN,NaN,-35.271,6.334,-61.527,-23.267,7.017,-62.061,-43.355,-16.037,-64.085,-26.983,-14.997,-48.066,-12.389,-16.051,-74.321,-48.172,-44.571,-75.507,-26.379,-35.968,-62.804,-2.664,-41.95,-81.731,-26.438,-40.038,-65.908,-25.564,-48.054,-66.506,-24.793,-55.256,-68.226,-23.177,-79.051,-78.247,NaN,NaN,NaN,NaN,NaN,NaN
HAPPY,-93.136,27.709,-93.558,-76.46,34.012,-67.423,-53.099,27.081,-60.713,-27.538,30.016,-57.859,-3.15,40.301,-57.356,14.476,37.66,-78.463,NaN,NaN,NaN,-82.178,11.646,-73.895,-52.597,12.481,-72.716,-22.09,14.188,-67.002,9.021,20.612,-76.376,NaN,NaN,NaN,-44.338,9.628,-57.669,-34.572,10.328,-55.251,-52.083,-15.896,-57.435,-39.794,-12.382,-41.503,-19.606,-16.776,-61.309,-58.395,-41.524,-81.203,-36.012,-35.738,-56.212,-6.071,-40.168,-74.769,-35.214,-40.621,-58.714,-35.311,-51.162,-63.631,-34.517,-57.554,-63.617,-32.163,-79.219,-67.883,NaN,NaN,NaN,NaN,NaN,NaN
SADNESS,-86.572,29.252,-51.189,-67.503,30.406,-33.791,-45.088,28.966,-31.442,-21.365,29.167,-30.502,-0.498,36.884,-35.582,15.278,37.198,-54.272,NaN,NaN,NaN,-77.741,12.641,-52.893,-47.506,12.603,-45.095,-18.71,15.071,-47.011,12.275,19.877,-58.077,NaN,NaN,NaN,-36.796,7.075,-31.396,-25.097,6.373,-31.774,-45.716,-17.897,-33.458,-30.33,-13.568,-16.522,-15.134,-17.812,-35.992,-51.214,-45.578,-40.156,-30.487,-37.184,-29.911,-4.803,-43.202,-46.009,-29.771,-42.732,-34.167,-29.849,-44.365,-36.449,-27.42,-52.907,-33.404,-26.653,-79.457,-44.383,NaN,NaN,NaN,NaN,NaN,NaN
SURPRISE,-84.179,33.219,-97.551,-68.321,37.144,-81.764,-45.061,29.033,-83.67,-18.906,31.393,-66.434,4.859,41.457,-79.597,21.81,39.393,-101.385,NaN,NaN,NaN,-75.719,18.574,-102.818,-46.017,16.376,-93.775,-15.982,17.216,-90.841,16.353,22.183,-102.635,NaN,NaN,NaN,-35.121,9.855,-76.875,-24.633,9.873,-78.059,-44.94,-15.782,-82.045,-30.844,-10.711,-64.321,-15.087,-16.338,-77.431,-49.887,-43.717,-93.893,-30.08,-37.316,-77.766,-3.567,-42.682,-94.002,-30.087,-40.679,-80.996,-27.728,-48.131,-86.3,-27.063,-57.414,-88.439,-25.596,-81.363,-99.161,NaN,NaN,NaN,NaN,NaN,NaN
ANGER,-74.988,11.444,-0.581,-53.632,14.493,21.565,-23.38,1.851,25.495,4.791,4.181,18.829,33.747,21.45,12.795,52.943,14.838,-14.19,NaN,NaN,NaN,-66.884,-8.512,-9.237,-29.837,-10.514,2.729,4.374,-10.567,-4.574,41.471,-6.811,-16.363,NaN,NaN,NaN,-18.981,-17.162,19.401,-7.754,-17.262,15.246,-34.843,-52.262,11.486,-11.926,-55.645,33.377,5.246,-53.538,-6.234,-41.032,-80.528,-18.86,-14.503,-76.401,0.782,9.952,-78.973,-21.375,-15.244,-79.442,-1.414,-14.42,-82.621,-4.99,-13.582,-92.797,-5.321,-11.971,-125.224,-25.629,NaN,NaN,NaN,NaN,NaN,NaN
DISGUST,-68.658,12.065,135.555,-57.025,17.017,161.671,-26.146,6.714,171.697,-1.723,6.827,172.915,26.688,18.416,170.794,41.305,14.216,157.338,NaN,NaN,NaN,-57.644,-3.196,146.763,-28.356,-2.184,158.55,1.738,-2.138,159.083,31.754,0.623,158.712,NaN,NaN,NaN,-22.859,-8.345,163.609,-8.434,-6.67,174.128,-30.954,-35.258,158.86,-14.394,-35.415,186.781,1.897,-32.398,175.945,-36.151,-62.093,144.946,-13.092,-52.753,163.272,10.137,-58.623,142.29,-13.076,-57.072,159.967,-11.671,-68.76,155.54,-11.685,-75.047,155.121,-8.175,-102.667,147.122,NaN,NaN,NaN,NaN,NaN,NaN
FEAR,-54.344,25.44,153.985,-42.332,36.18,169.338,-13.35,29.943,179.462,12.131,28.031,177.959,42.136,41.903,166.094,54.312,31.818,153.653,NaN,NaN,NaN,-47.221,8.286,157.986,-14.374,9.701,166.032,15.741,11.139,164.156,46.039,11.076,154.481,NaN,NaN,NaN,-5.234,10.466,181.589,4.184,11.152,181.354,-15.425,-24.553,182.527,1.554,-18.147,200.354,15.731,-23.969,179.905,-20.822,-52.985,168.223,0.866,-43.873,183.679,21.401,-52.318,165.677,0.155,-49.275,170.905,0.26,-56.835,178.941,1.001,-63.643,178.299,1.334,-97.324,167.151,NaN,NaN,NaN,NaN,NaN,NaN
HAPPY,-76.129,17.528,150.31,-63.098,25.862,164.938,-32.129,20.178,175.889,-7.949,17.704,169.788,19.335,30.72,163.368,33.302,21.165,149.239,NaN,NaN,NaN,-66.968,1.016,152.93,-33.173,3.266,159.857,-6.675,3.883,158.228,22.941,6.76,153.923,NaN,NaN,NaN,-26.224,0.601,168.942,-15.227,2.243,176.609,-38.359,-28.657,169.425,-19.031,-30.001,187.801,-2.848,-27.053,174.251,-52.624,-48.138,148.182,-19.98,-44.375,167.078,12.203,-45.239,146.745,-19.932,-49.207,165.984,-19.962,-61.957,156.739,-19.188,-67.281,159.839,-19.31,-102.199,152.068,NaN,NaN,NaN,NaN,NaN,NaN
SADNESS,-54.81,11.078,159.423,-42.176,19.771,174.941,-14.148,17.187,185.224,6.566,15.25,183.73,34.177,28.079,176.707,53.994,22.083,155.387,NaN,NaN,NaN,-45.239,-4.082,163.542,-12.417,-1.065,171.727,15.001,1.645,168.549,46.335,6.957,159.027,NaN,NaN,NaN,-5.511,1.145,180.559,4.635,3.152,183.998,-12.275,-37.853,170.62,6.785,-32.632,198.918,19.573,-33.437,181.107,-18.281,-60.748,162.464,5.452,-53.47,179.517,29.485,-56.496,164.373,5.465,-56.215,178.432,6.178,-58.125,179.781,6.169,-64.35,178.217,8.616,-98.514,161.195,NaN,NaN,NaN,NaN,NaN,NaN
SURPRISE,-66.235,18.099,160.068,-56.277,31.001,173.667,-26.673,20.027,187.205,-3.265,18.811,186.709,29.706,33.755,174.243,43.886,19.536,155.636,NaN,NaN,NaN,-58.537,-1.797,165.179,-25.747,-2.965,171.038,2.957,-1.602,169.408,32.158,-1.554,163.611,NaN,NaN,NaN,-18.611,-6.095,186.711,-10.492,-6.028,189.562,-27.943,-37.635,186.867,-10.951,-32.422,203.38,3.631,-37.311,176.424,-32.301,-65.764,168.648,-11.789,-57.941,184.087,10.511,-66.674,162.232,-12.413,-62.773,182.185,-11.019,-76.871,172.273,-9.605,-86.498,171.518,-10.121,-118.437,149.156,NaN,NaN,NaN,NaN,NaN,NaN
ANGER,-58.061,-5.524,39.243,-40.5,-4.498,57.093,-13.318,-11.016,59.067,8.104,-10.312,55.207,30.959,-2.961,47.225,44.145,-5.7,23.83,NaN,NaN,NaN,-51.337,-17.406,38.386,-20.735,-20.28,44.757,8.049,-21.795,41.386,37.446,-19.147,28.104,NaN,NaN,NaN,-8.758,-24.471,56.86,2.214,-25.23,51.84,-17.492,-60.804,52.161,-2.732,-53.521,67.515,8.104,-61.696,50.444,-25.87,-84.186,34.033,-5.684,-78.623,49.105,13.711,-84.464,28.066,-5.648,-85.252,39.6,-5.63,-87.453,39.927,-5.593,-95.978,35.42,-5.894,-121.876,19.704,NaN,NaN,NaN,NaN,NaN,NaN
DISGUST,-67.188,8.839,-11.641,-53.481,15.024,4.185,-26.599,8.998,10.624,-1.071,9.097,7.263,17.99,18.336,1.78,32.01,13.043,-11.003,NaN,NaN,NaN,-59.261,-4.871,-7.973,-28.405,-5.425,-1.309,-0.314,-4.644,-3.141,29.062,-1.446,-15.203,NaN,NaN,NaN,-19.872,-11.509,11.182,-8.54,-10.691,13.375,-27.303,-42.782,5.696,-11.254,-33.709,25.414,3.004,-40.191,10.656,-34.541,-72.798,-11.952,-11.392,-55.654,6.508,10.877,-68.523,-11.994,-11.444,-61.906,3.733,-10.678,-72.162,-5.144,-10.578,-82.596,1.897,-12.037,-117.49,-23.286,NaN,NaN,NaN,NaN,NaN,NaN
FEAR,-60.541,11.258,74.131,-43.455,19.929,89.818,-15.232,18.009,97.866,6.902,18.747,95.338,29.272,20.926,83.472,42.889,13.184,62.456,NaN,NaN,NaN,-50.477,-0.939,88.456,-20.323,-2.28,86.698,6.109,-2.821,83.236,35.352,-0.765,75.225,NaN,NaN,NaN,-10.943,0.034,95.953,-0.849,0.176,97.752,-19.202,-39.292,99.396,-3.176,-30.139,115.482,10.072,-39.484,91.884,-25.383,-71.978,79.533,-5.558,-56.297,101.02,15.519,-73.207,81.028,-4.857,-64.02,90.794,-4.107,-80.101,86.934,-4.065,-90.755,88.379,-3.394,-120.114,67.752,NaN,NaN,NaN,NaN,NaN,NaN
HAPPY,-74.024,-5.927,-6.194,-61.041,1.057,10.4,-32.832,-2.47,19.353,-11.185,-0.958,19.981,13.19,5.821,11.572,28.696,1.355,-6.867,NaN,NaN,NaN,-66.089,-20.402,-1.759,-35.497,-18.563,7.15,-7.218,-16.37,7.086,22.576,-11.709,-2.484,NaN,NaN,NaN,-26.703,-25.994,20.581,-16.069,-24.294,24.632,-35.048,-52.582,14.873,-16.719,-46.339,36.069,0.479,-50.277,11.996,-46.38,-73.479,-6.47,-15.395,-66.981,15.664,14.26,-69.943,-2.373,-16.165,-72.397,13.077,-14.589,-89.083,0.467,-12.987,-97.574,0.217,-13.026,-121.485,-2.441,NaN,NaN,NaN,NaN,NaN,NaN
SADNESS,-58.821,2.576,3.0,-43.942,8.698,17.493,-15.266,5.806,24.085,6.324,7.429,20.917,29.257,10.996,8.143,42.138,4.223,-13.265,NaN,NaN,NaN,-52.012,-10.356,4.035,-22.211,-11.753,7.455,7.445,-12.521,3.43,36.019,-12.686,-9.334,NaN,NaN,NaN,-8.595,-13.827,21.991,-1.313,-13.831,20.39,-19.024,-50.081,20.429,-2.247,-43.277,36.873,9.01,-51.943,10.788,-28.989,-76.584,5.311,-6.043,-69.11,19.03,13.022,-76.783,0.64,-6.772,-76.176,13.183,-6.751,-78.47,12.526,-6.628,-85.296,11.476,-8.136,-118.017,-8.568,NaN,NaN,NaN,NaN,NaN,NaN
SURPRISE,-59.846,10.618,109.209,-45.11,15.449,126.298,-16.807,7.156,131.718,5.961,7.853,130.395,31.545,16.374,119.986,43.171,7.921,101.049,NaN,NaN,NaN,-53.411,-4.45,110.613,-20.601,-7.827,118.473,6.255,-8.454,117.673,35.296,-7.126,106.066,NaN,NaN,NaN,-11.226,-10.252,131.227,-2.141,-11.004,130.573,-23.175,-47.039,122.053,-5.547,-40.399,144.263,8.372,-47.78,119.683,-30.567,-74.199,104.867,-6.916,-63.043,125.026,13.577,-75.731,100.82,-8.295,-68.891,122.022,-8.527,-83.889,98.032,-8.433,-96.123,106.036,-8.457,-115.804,93.717,NaN,NaN,NaN,NaN,NaN,NaN
ANGER,-32.381,9.312,2.993,-10.365,14.557,19.902,7.514,15.465,21.33,26.573,15.456,21.999,49.299,16.316,16.953,69.775,11.885,0.597,NaN,NaN,NaN,-25.684,4.777,-1.824,0.234,4.9,3.361,33.76,4.111,3.577,61.423,7.243,0.969,NaN,NaN,NaN,10.68,4.2,20.078,25.181,3.998,13.273,-6.214,-33.555,23.661,13.629,-29.931,42.954,35.219,-35.887,18.282,-11.653,-66.866,8.343,15.359,-57.484,24.781,41.584,-64.854,10.853,15.336,-62.753,21.57,14.59,-64.293,20.982,15.484,-72.542,24.746,18.189,-108.757,14.293,NaN,NaN,NaN,NaN,NaN,NaN
DISGUST,-40.619,19.912,-42.411,-23.866,29.28,-24.42,-3.767,28.26,-21.136,19.428,30.734,-18.732,45.809,31.571,-17.979,64.069,24.716,-30.431,NaN,NaN,NaN,-34.2,16.761,-38.453,-6.92,19.314,-34.7,26.507,19.936,-29.372,56.229,20.079,-30.806,NaN,NaN,NaN,-0.476,16.647,-20.042,13.1,17.735,-14.936,-15.179,-13.969,-13.504,1.16,-9.862,9.147,24.943,-13.82,-4.74,-18.985,-48.422,-21.963,5.073,-38.424,-6.035,35.256,-46.296,-14.71,4.938,-44.692,-9.202,4.957,-46.173,-8.121,6.556,-53.721,-4.576,8.432,-92.317,-7.139,NaN,NaN,NaN,NaN,NaN,NaN
FEAR,-38.844,30.898,15.231,-21.278,42.877,25.794,-1.917,41.284,26.79,26.651,40.586,25.452,52.348,44.674,19.512,64.852,35.779,10.082,NaN,NaN,NaN,-31.96,23.472,10.737,-3.439,23.388,17.918,28.409,23.468,16.475,57.336,26.664,7.781,NaN,NaN,NaN,7.302,21.797,43.595,20.656,21.795,31.852,-8.945,-7.942,45.008,12.461,0.601,63.082,33.258,-7.801,40.634,-13.478,-46.045,38.142,14.123,-29.87,52.849,38.861,-44.683,34.46,12.464,-34.532,45.531,14.127,-43.845,50.692,14.081,-49.682,53.616,15.122,-89.327,46.616,NaN,NaN,NaN,NaN,NaN,NaN
HAPPY,-51.299,18.871,-11.869,-30.833,28.053,6.491,-8.92,27.268,7.021,17.52,28.304,6.798,39.748,28.237,2.908,54.916,20.728,-11.512,NaN,NaN,NaN,-42.806,15.036,-11.385,-13.574,15.123,-4.958,17.759,14.561,-7.024,48.804,16.135,-12.641,NaN,NaN,NaN,-4.425,11.327,14.099,7.748,11.302,11.193,-22.346,-19.79,9.428,0.478,-17.732,33.2,21.72,-20.572,2.863,-34.071,-45.73,-11.0,2.032,-37.887,12.267,35.967,-43.156,-13.33,1.982,-41.684,10.715,1.34,-52.681,2.818,2.034,-60.159,10.546,0.815,-98.124,6.973,NaN,NaN,NaN,NaN,NaN,NaN
SADNESS,-41.375,21.446,-4.719,-21.166,31.3,8.88,-0.182,38.923,11.406,18.021,42.005,10.876,45.535,36.129,3.56,62.345,26.386,-12.978,NaN,NaN,NaN,-36.094,13.028,-9.584,-6.096,16.143,-1.081,24.364,18.614,-4.114,55.426,20.214,-11.299,NaN,NaN,NaN,3.475,16.922,20.461,13.525,16.166,14.012,-14.222,-17.983,18.246,8.378,-9.838,41.041,30.324,-17.192,11.04,-18.726,-52.821,14.354,9.923,-37.226,27.011,38.81,-48.854,14.168,10.009,-41.8,24.75,9.997,-44.026,25.512,10.722,-52.181,28.543,12.547,-88.297,26.434,NaN,NaN,NaN,NaN,NaN,NaN
SURPRISE,-42.791,32.525,10.956,-24.464,43.017,20.437,-4.855,39.148,20.692,20.642,40.798,19.433,48.125,43.327,12.253,58.173,34.281,3.522,NaN,NaN,NaN,-38.25,21.969,5.104,-10.109,22.659,11.153,22.317,23.552,9.222,49.91,25.943,3.046,NaN,NaN,NaN,-0.319,20.331,34.783,13.839,20.38,26.575,-15.795,-11.067,35.438,5.837,-6.048,56.578,28.433,-11.891,25.084,-20.189,-49.261,29.403,6.482,-31.629,44.931,33.862,-45.652,25.854,5.902,-37.247,32.323,6.604,-46.515,43.007,7.417,-54.078,41.962,9.954,-91.46,37.589,NaN,NaN,NaN,NaN,NaN,NaN
ANGER,-73.155,35.2,-42.621,-55.913,40.322,-22.444,-32.643,26.566,-22.918,-5.61,28.024,-17.281,18.293,40.445,-14.65,39.548,33.843,-32.03,NaN,NaN,NaN,-65.439,20.629,-44.142,-35.959,17.237,-34.489,1.337,17.468,-29.691,31.03,19.783,-32.208,NaN,NaN,NaN,-25.45,19.572,-15.881,-13.132,19.618,-14.624,-34.485,-25.876,-9.922,-19.499,-26.994,5.935,-0.606,-28.139,-14.099,-42.915,-61.871,-38.959,-18.29,-57.005,-15.058,7.137,-63.78,-32.602,-18.312,-62.028,-24.939,-18.238,-65.052,-23.035,-17.389,-70.39,-22.535,-14.469,-105.479,-46.088,NaN,NaN,NaN,NaN,NaN,NaN
DISGUST,-61.685,41.017,-75.09,-45.954,48.889,-54.792,-22.675,34.422,-46.826,5.57,33.59,-39.517,31.406,45.458,-43.164,49.1,37.874,-54.662,NaN,NaN,NaN,-56.683,29.743,-72.19,-25.22,27.388,-60.871,12.737,25.088,-55.116,45.308,26.1,-61.889,NaN,NaN,NaN,-16.463,28.074,-47.268,-2.274,27.315,-41.117,-25.543,-10.319,-40.535,-10.734,-19.48,-26.53,9.027,-9.315,-39.01,-30.514,-52.283,-64.605,-5.84,-44.981,-44.405,18.794,-54.978,-60.78,-6.676,-51.523,-47.359,-6.658,-54.786,-50.897,-5.888,-62.726,-50.774,-7.274,-93.199,-69.109,-69.571,-11.443,-96.201,NaN,NaN,NaN
FEAR,-54.126,40.438,-63.865,-37.89,48.344,-52.413,-13.999,36.861,-40.056,15.639,43.971,-40.534,43.302,53.971,-51.023,59.038,40.751,-67.22,NaN,NaN,NaN,-50.851,25.39,-65.277,-19.608,22.115,-60.68,16.81,19.902,-58.246,46.989,20.029,-63.207,NaN,NaN,NaN,-7.825,25.181,-44.648,4.76,25.301,-46.067,-20.059,-20.936,-35.874,-5.097,-19.733,-16.23,13.825,-25.58,-36.309,-31.195,-58.707,-54.157,-4.366,-51.248,-32.493,21.024,-61.613,-53.747,-5.102,-57.192,-41.534,-5.141,-64.381,-43.186,-5.932,-73.658,-40.731,-5.679,-110.611,-63.684,-69.573,-25.668,-93.814,NaN,NaN,NaN
HAPPY,-59.18,26.35,-33.558,-44.512,39.33,-14.187,-13.06,27.712,-5.531,11.478,29.497,-2.488,42.248,39.421,-9.269,58.378,27.207,-26.263,NaN,NaN,NaN,-52.133,16.258,-32.727,-19.798,14.723,-22.646,-7.428,15.379,-4.02,4.776,15.46,-5.531,NaN,NaN,NaN,17.731,13.495,-18.868,47.529,15.629,-21.833,-20.961,-25.129,-3.519,-1.741,-32.388,13.845,18.809,-25.79,-3.063,-34.217,-49.73,-43.205,0.294,-50.683,-11.064,31.876,-49.949,-35.543,0.421,-53.158,-13.857,-0.94,-69.841,-20.187,-0.985,-75.219,-20.019,1.666,-113.424,-34.111,-69.498,-18.913,-40.508,NaN,NaN,NaN
SADNESS,-63.754,38.42,6.258,-47.388,42.574,21.226,-24.369,30.477,32.444,2.285,33.521,33.771,30.177,42.614,24.762,47.951,32.558,9.327,NaN,NaN,NaN,-61.788,22.4,-4.485,-28.391,20.182,11.759,6.886,16.382,13.049,37.369,17.131,8.201,NaN,NaN,NaN,-17.722,19.311,28.621,-6.659,18.577,31.37,-30.149,-24.88,30.097,-14.159,-25.936,50.85,3.411,-29.248,31.022,-38.169,-58.82,11.315,-13.74,-56.298,29.379,11.114,-60.898,12.256,-14.624,-61.243,24.013,-14.621,-63.571,22.963,-14.509,-69.484,23.827,-12.928,-107.433,1.728,-77.103,-17.782,-36.052,NaN,NaN,NaN
SURPRISE,-56.118,32.503,-8.053,-44.45,45.419,5.766,-16.525,29.256,16.768,15.563,30.818,18.719,47.725,48.508,7.018,60.547,34.291,-8.699,NaN,NaN,NaN,-49.18,13.211,-10.017,-16.141,8.856,-0.385,17.471,8.86,2.236,50.346,14.287,-1.037,NaN,NaN,NaN,-8.359,13.276,9.239,9.023,13.306,11.219,-16.36,-32.812,16.815,0.764,-34.295,40.164,19.055,-33.303,23.013,-22.74,-74.904,-6.232,2.349,-63.483,20.237,27.23,-71.783,-9.143,2.62,-69.949,0.481,1.903,-82.747,2.925,2.775,-93.399,2.954,2.926,-124.162,-17.962,-70.144,-34.166,-82.36,NaN,NaN,NaN
ANGER,-40.873,39.346,100.415,-21.772,41.835,118.734,-0.074,38.989,123.478,24.664,39.005,124.512,48.026,41.306,116.686,66.548,38.874,97.808,NaN,NaN,NaN,-31.891,27.045,106.774,-4.304,24.816,110.194,29.148,23.744,107.173,57.162,24.544,100.66,NaN,NaN,NaN,7.804,23.515,122.845,17.661,24.339,120.961,-3.819,-12.392,123.37,12.18,-5.687,141.43,26.465,-13.643,121.499,-13.676,-40.136,114.512,10.267,-33.241,128.119,31.641,-41.97,115.645,8.837,-38.204,125.436,8.803,-39.725,122.031,8.795,-45.189,125.843,9.166,-79.306,110.546,NaN,NaN,NaN,NaN,NaN,NaN
DISGUST,-40.659,41.76,46.86,-25.351,45.612,69.737,0.785,44.181,77.194,26.807,44.214,77.579,46.505,48.76,74.517,66.035,49.035,60.402,NaN,NaN,NaN,-28.601,30.516,62.562,-0.544,28.288,65.349,31.611,29.677,62.536,61.237,33.692,54.704,NaN,NaN,NaN,10.258,27.46,77.33,21.172,27.492,75.168,0.938,-8.076,74.055,17.531,0.288,93.435,32.461,-8.089,68.221,-7.721,-37.94,57.507,18.667,-28.243,79.25,44.5,-36.893,58.787,17.903,-32.006,74.903,16.308,-41.721,68.355,17.016,-47.401,71.427,17.507,-78.71,49.086,NaN,NaN,NaN,NaN,NaN,NaN
FEAR,-44.92,28.659,110.445,-30.718,36.858,132.292,-1.349,34.009,137.888,24.846,30.388,137.515,43.632,34.079,135.745,67.43,30.177,109.161,NaN,NaN,NaN,-33.335,16.423,119.306,-4.256,12.213,126.253,28.069,12.476,123.74,57.221,15.283,115.94,NaN,NaN,NaN,8.845,10.922,138.158,17.982,11.677,135.569,-1.725,-25.107,139.331,13.32,-17.622,155.008,27.498,-25.863,136.508,-10.917,-57.368,121.613,11.983,-46.575,140.613,32.676,-57.879,121.051,11.279,-50.181,138.917,12.195,-63.305,129.227,12.236,-71.5,132.926,11.757,-99.034,110.377,NaN,NaN,NaN,NaN,NaN,NaN
HAPPY,-54.419,37.145,62.719,-39.088,44.923,84.963,-11.483,40.488,91.008,15.676,40.645,90.363,39.354,46.521,85.977,57.626,40.395,65.244,NaN,NaN,NaN,-41.347,25.365,77.466,-14.475,24.689,80.004,19.366,24.852,78.35,46.358,26.948,77.622,NaN,NaN,NaN,-2.1,20.466,92.849,9.191,20.466,92.15,-13.565,-10.58,92.804,4.564,-4.555,110.824,20.273,-11.196,91.994,-28.331,-33.556,69.117,3.204,-26.885,94.151,33.759,-32.663,70.475,3.24,-31.203,92.381,3.149,-44.38,86.055,3.119,-50.0,90.642,4.174,-82.403,81.7,NaN,NaN,NaN,NaN,NaN,NaN
